Timestamp,Total Score,Area,Distance Preferred,Parking Options,Cost Per Hour,Type of Parking,Type of Area,CCTV Security,Water Service,Other Feedback
2024/06/03 02:57:50 AM GMT+5:30,4.09 / 0,825 sq feet,Kanakpura,Commercial area,86 rs,Parallel parking,Open area,No,No,Good one
2024/01/04 01:47:02 PM GMT+5:30,3.09 / 0,737 sq feet,Kanakpura,Commercial area,94 rs,Angle parking,Closed area,Yes,No,Cost should be relevant
2024/01/17 12:37:21 PM GMT+5:30,1.40 / 0,433 sq feet,City Center,Commercial area,83 rs,Angle parking,Open area,No,No,Good feedback
2024/03/20 08:03:07 PM GMT+5:30,4.32 / 0,506 sq feet,Harohalli,Commercial area,66 rs,Parallel parking,Open area,Yes,Yes,Good one
2024/02/04 04:38:29 PM GMT+5:30,4.99 / 0,259 sq feet,Harohalli,Residential area,28 rs,Parallel parking,Closed area,Yes,No,Good one
2024/05/03 02:42:53 PM GMT+5:30,7.52 / 0,940 sq feet,City Center,Street parking,18 rs,Angle parking,Open area,No,No,Good one
2024/08/14 08:17:01 AM GMT+5:30,2.75 / 0,334 sq feet,Suburban Area,Commercial area,43 rs,Parallel parking,Open area,Yes,Yes,Good one
2024/02/12 11:53:25 PM GMT+5:30,3.53 / 0,878 sq feet,Harohalli,Street parking,29 rs,Perpendicular parking,Closed area,No,Yes,
2024/03/12 11:50:22 AM GMT+5:30,8.62 / 0,172 sq feet,Suburban Area,Commercial area,76 rs,Angle parking,Open area,No,No,Cost should be relevant
2024/05/14 12:24:56 AM GMT+5:30,5.03 / 0,241 sq feet,Suburban Area,Commercial area,47 rs,Angle parking,Closed area,Yes,No,Good one
2024/02/24 06:15:51 AM GMT+5:30,3.67 / 0,850 sq feet,City Center,Street parking,89 rs,Perpendicular parking,Open area,No,No,Good feedback
2024/09/21 07:19:09 PM GMT+5:30,5.34 / 0,936 sq feet,Suburban Area,Street parking,60 rs,Parallel parking,Closed area,Yes,Yes,
2024/04/24 07:20:20 AM GMT+5:30,0.86 / 0,507 sq feet,Harohalli,Commercial area,95 rs,Angle parking,Closed area,Yes,Yes,Good feedback
2024/01/11 10:08:13 AM GMT+5:30,5.88 / 0,829 sq feet,Harohalli,Residential area,90 rs,Perpendicular parking,Open area,No,Yes,Cost should be relevant
2024/06/16 02:13:51 AM GMT+5:30,6.28 / 0,169 sq feet,Harohalli,Commercial area,78 rs,Parallel parking,Open area,Yes,Yes,
2024/07/04 02:39:10 AM GMT+5:30,7.25 / 0,811 sq feet,City Center,Street parking,62 rs,Perpendicular parking,Closed area,Yes,No,Good feedback
2024/07/10 04:01:29 PM GMT+5:30,9.06 / 0,974 sq feet,City Center,Street parking,36 rs,Perpendicular parking,Open area,No,No,Cost should be relevant
2024/06/21 06:51:19 PM GMT+5:30,3.34 / 0,185 sq feet,Suburban Area,Street parking,63 rs,Perpendicular parking,Open area,Yes,Yes,Cost should be relevant
2024/03/19 07:11:27 PM GMT+5:30,6.08 / 0,472 sq feet,City Center,Residential area,33 rs,Perpendicular parking,Closed area,No,Yes,Cost should be relevant
2024/06/20 06:27:03 PM GMT+5:30,4.91 / 0,237 sq feet,City Center,Street parking,23 rs,Angle parking,Open area,Yes,Yes,Good feedback
2024/09/11 05:11:52 PM GMT+5:30,8.28 / 0,107 sq feet,Kanakpura,Street parking,36 rs,Parallel parking,Closed area,No,Yes,Cost should be relevant
2024/09/17 10:04:06 PM GMT+5:30,1.87 / 0,741 sq feet,City Center,Commercial area,55 rs,Perpendicular parking,Open area,Yes,Yes,Good feedback
2024/05/26 01:01:13 AM GMT+5:30,7.79 / 0,78 sq feet,City Center,Commercial area,81 rs,Angle parking,Open area,No,Yes,Cost should be relevant
2024/05/24 02:43:50 PM GMT+5:30,4.61 / 0,338 sq feet,Suburban Area,Commercial area,34 rs,Angle parking,Closed area,Yes,No,Cost should be relevant
2024/01/29 06:10:49 AM GMT+5:30,7.92 / 0,528 sq feet,Suburban Area,Street parking,50 rs,Angle parking,Closed area,No,No,Good feedback
2024/08/30 05:04:10 AM GMT+5:30,4.93 / 0,105 sq feet,Kanakpura,Street parking,21 rs,Parallel parking,Closed area,No,No,
2024/08/30 10:55:59 PM GMT+5:30,0.70 / 0,920 sq feet,Harohalli,Commercial area,72 rs,Perpendicular parking,Closed area,Yes,Yes,Good feedback
2024/04/28 02:23:03 PM GMT+5:30,6.09 / 0,921 sq feet,Suburban Area,Commercial area,15 rs,Angle parking,Open area,Yes,No,Good feedback
2024/03/15 03:14:20 AM GMT+5:30,7.96 / 0,407 sq feet,Harohalli,Residential area,24 rs,Parallel parking,Closed area,No,Yes,Good one
2024/03/10 01:31:55 AM GMT+5:30,8.06 / 0,298 sq feet,City Center,Residential area,34 rs,Perpendicular parking,Open area,Yes,No,
2024/07/01 04:56:53 AM GMT+5:30,5.16 / 0,205 sq feet,Harohalli,Commercial area,32 rs,Perpendicular parking,Closed area,No,Yes,
2024/05/26 06:23:30 PM GMT+5:30,9.64 / 0,245 sq feet,Harohalli,Street parking,44 rs,Perpendicular parking,Open area,Yes,No,
2024/05/01 07:25:12 PM GMT+5:30,1.65 / 0,18 sq feet,City Center,Commercial area,22 rs,Angle parking,Open area,Yes,Yes,Cost should be relevant
2024/07/15 08:32:08 PM GMT+5:30,6.97 / 0,799 sq feet,Kanakpura,Residential area,73 rs,Angle parking,Open area,Yes,No,
2024/05/02 12:00:11 PM GMT+5:30,5.85 / 0,838 sq feet,Suburban Area,Street parking,100 rs,Parallel parking,Closed area,No,Yes,Good feedback
2024/07/26 03:41:48 AM GMT+5:30,0.27 / 0,647 sq feet,City Center,Street parking,51 rs,Angle parking,Closed area,No,No,
2024/05/26 11:27:30 AM GMT+5:30,3.40 / 0,893 sq feet,Kanakpura,Residential area,51 rs,Perpendicular parking,Open area,Yes,Yes,Good feedback
2024/04/20 03:16:41 PM GMT+5:30,7.45 / 0,705 sq feet,Harohalli,Street parking,58 rs,Parallel parking,Open area,Yes,Yes,
2024/08/28 02:42:03 AM GMT+5:30,3.82 / 0,961 sq feet,City Center,Street parking,67 rs,Angle parking,Closed area,No,No,Cost should be relevant
2024/05/12 11:54:43 AM GMT+5:30,4.08 / 0,782 sq feet,Harohalli,Street parking,21 rs,Angle parking,Closed area,Yes,No,
2024/07/09 07:55:59 PM GMT+5:30,3.99 / 0,294 sq feet,Suburban Area,Residential area,45 rs,Perpendicular parking,Open area,No,Yes,Good feedback
2024/02/20 11:37:41 PM GMT+5:30,0.96 / 0,427 sq feet,Suburban Area,Street parking,16 rs,Angle parking,Closed area,Yes,No,
2024/03/07 07:24:19 PM GMT+5:30,8.31 / 0,424 sq feet,Suburban Area,Commercial area,76 rs,Parallel parking,Open area,No,No,Good feedback
2024/04/09 05:45:29 PM GMT+5:30,7.07 / 0,684 sq feet,Harohalli,Street parking,82 rs,Perpendicular parking,Open area,No,No,
2024/08/27 07:47:18 PM GMT+5:30,4.59 / 0,653 sq feet,City Center,Street parking,52 rs,Parallel parking,Closed area,Yes,Yes,Good one
2024/02/09 12:17:39 PM GMT+5:30,3.48 / 0,350 sq feet,Suburban Area,Street parking,87 rs,Parallel parking,Open area,Yes,No,Good one
2024/08/15 01:35:40 AM GMT+5:30,6.72 / 0,405 sq feet,City Center,Residential area,82 rs,Perpendicular parking,Closed area,Yes,No,Cost should be relevant
2024/08/23 02:27:16 AM GMT+5:30,6.13 / 0,354 sq feet,Harohalli,Street parking,85 rs,Perpendicular parking,Open area,No,No,Good feedback
2024/07/22 07:41:01 AM GMT+5:30,5.45 / 0,367 sq feet,Kanakpura,Commercial area,96 rs,Angle parking,Closed area,Yes,Yes,Good feedback
2024/03/21 02:33:02 PM GMT+5:30,0.56 / 0,840 sq feet,Harohalli,Residential area,80 rs,Angle parking,Open area,Yes,No,Good one
2024/06/28 06:25:27 AM GMT+5:30,4.02 / 0,450 sq feet,Harohalli,Residential area,87 rs,Parallel parking,Open area,No,Yes,Good one
2024/02/05 11:38:52 AM GMT+5:30,1.95 / 0,310 sq feet,Suburban Area,Commercial area,57 rs,Angle parking,Open area,Yes,Yes,Cost should be relevant
2024/08/26 01:34:16 PM GMT+5:30,0.63 / 0,364 sq feet,City Center,Commercial area,61 rs,Perpendicular parking,Closed area,Yes,No,
2024/05/16 07:25:45 PM GMT+5:30,3.37 / 0,264 sq feet,Kanakpura,Residential area,29 rs,Angle parking,Closed area,Yes,Yes,Cost should be relevant
2024/01/07 07:47:33 PM GMT+5:30,6.91 / 0,646 sq feet,Harohalli,Commercial area,61 rs,Parallel parking,Open area,No,No,Cost should be relevant
2024/05/18 05:14:35 PM GMT+5:30,4.87 / 0,546 sq feet,Harohalli,Commercial area,52 rs,Perpendicular parking,Closed area,No,Yes,Good one
2024/08/07 05:00:03 AM GMT+5:30,3.10 / 0,810 sq feet,Suburban Area,Commercial area,53 rs,Angle parking,Open area,No,Yes,Good one
2024/09/16 09:11:36 AM GMT+5:30,9.07 / 0,621 sq feet,Harohalli,Commercial area,45 rs,Perpendicular parking,Open area,Yes,Yes,
2024/04/08 06:01:07 AM GMT+5:30,6.79 / 0,918 sq feet,Kanakpura,Street parking,12 rs,Angle parking,Closed area,Yes,No,Good one
2024/02/08 10:09:15 AM GMT+5:30,1.49 / 0,150 sq feet,City Center,Street parking,30 rs,Parallel parking,Open area,Yes,No,Good one
2024/05/28 04:23:21 AM GMT+5:30,8.41 / 0,831 sq feet,City Center,Residential area,92 rs,Perpendicular parking,Open area,Yes,No,
2024/06/16 09:21:36 AM GMT+5:30,1.64 / 0,940 sq feet,Harohalli,Commercial area,31 rs,Parallel parking,Open area,No,Yes,Cost should be relevant
2024/07/04 07:45:12 PM GMT+5:30,2.82 / 0,147 sq feet,City Center,Street parking,60 rs,Parallel parking,Closed area,No,No,Good feedback
2024/03/14 11:32:03 PM GMT+5:30,1.80 / 0,819 sq feet,City Center,Street parking,69 rs,Perpendicular parking,Open area,No,No,Cost should be relevant
2024/09/14 01:10:59 AM GMT+5:30,7.49 / 0,756 sq feet,City Center,Street parking,62 rs,Parallel parking,Closed area,No,No,Good feedback
2024/09/25 06:38:39 AM GMT+5:30,2.56 / 0,245 sq feet,Suburban Area,Commercial area,94 rs,Parallel parking,Open area,No,No,Good one
2024/05/16 01:13:44 AM GMT+5:30,7.93 / 0,329 sq feet,City Center,Street parking,57 rs,Angle parking,Closed area,No,No,Cost should be relevant
2024/02/23 02:07:02 AM GMT+5:30,4.83 / 0,209 sq feet,City Center,Residential area,91 rs,Parallel parking,Closed area,Yes,Yes,
2024/06/15 11:32:29 PM GMT+5:30,2.64 / 0,210 sq feet,Suburban Area,Residential area,23 rs,Angle parking,Open area,Yes,Yes,Good one
2024/01/27 03:01:52 AM GMT+5:30,4.47 / 0,922 sq feet,Harohalli,Street parking,68 rs,Parallel parking,Open area,Yes,Yes,
2024/07/30 02:37:58 AM GMT+5:30,5.44 / 0,620 sq feet,Kanakpura,Commercial area,25 rs,Perpendicular parking,Open area,No,Yes,
2024/07/31 12:03:41 PM GMT+5:30,5.42 / 0,575 sq feet,City Center,Residential area,92 rs,Perpendicular parking,Open area,No,No,Good feedback
2024/01/16 11:00:07 PM GMT+5:30,6.40 / 0,570 sq feet,City Center,Street parking,29 rs,Parallel parking,Open area,Yes,Yes,Good one
2024/03/23 12:36:58 AM GMT+5:30,5.24 / 0,74 sq feet,Harohalli,Commercial area,25 rs,Parallel parking,Closed area,Yes,Yes,
2024/02/17 07:05:01 AM GMT+5:30,0.46 / 0,366 sq feet,City Center,Commercial area,53 rs,Parallel parking,Closed area,No,No,Good one
2024/05/31 03:23:09 AM GMT+5:30,5.33 / 0,351 sq feet,City Center,Street parking,55 rs,Perpendicular parking,Open area,Yes,Yes,Good one
2024/07/05 07:57:52 AM GMT+5:30,3.99 / 0,58 sq feet,Suburban Area,Residential area,22 rs,Parallel parking,Open area,Yes,Yes,Good one
2024/09/12 02:00:13 AM GMT+5:30,2.19 / 0,542 sq feet,Kanakpura,Street parking,18 rs,Perpendicular parking,Open area,Yes,Yes,Good feedback
2024/01/13 08:19:55 PM GMT+5:30,6.61 / 0,518 sq feet,Kanakpura,Residential area,47 rs,Perpendicular parking,Closed area,No,Yes,
2024/05/12 05:35:14 AM GMT+5:30,6.19 / 0,834 sq feet,Kanakpura,Residential area,14 rs,Parallel parking,Closed area,Yes,Yes,Good one
2024/02/28 12:00:47 AM GMT+5:30,8.05 / 0,591 sq feet,City Center,Commercial area,30 rs,Perpendicular parking,Closed area,No,Yes,Cost should be relevant
2024/04/11 02:11:45 AM GMT+5:30,1.08 / 0,212 sq feet,Kanakpura,Residential area,28 rs,Perpendicular parking,Closed area,Yes,No,Good feedback
2024/05/06 06:42:09 PM GMT+5:30,8.40 / 0,247 sq feet,City Center,Residential area,11 rs,Parallel parking,Open area,Yes,No,
2024/09/25 07:02:53 PM GMT+5:30,4.09 / 0,468 sq feet,Harohalli,Street parking,19 rs,Perpendicular parking,Closed area,No,No,Cost should be relevant
2024/08/14 04:22:41 AM GMT+5:30,1.74 / 0,481 sq feet,Harohalli,Commercial area,43 rs,Perpendicular parking,Open area,No,Yes,Good feedback
2024/09/10 11:35:41 PM GMT+5:30,0.23 / 0,248 sq feet,Suburban Area,Residential area,36 rs,Angle parking,Closed area,No,No,Good one
2024/08/05 03:29:16 AM GMT+5:30,8.34 / 0,781 sq feet,Harohalli,Residential area,15 rs,Parallel parking,Open area,No,Yes,Good one
2024/04/09 04:36:41 AM GMT+5:30,3.04 / 0,886 sq feet,City Center,Residential area,37 rs,Angle parking,Open area,Yes,No,
2024/07/19 02:22:34 AM GMT+5:30,2.28 / 0,340 sq feet,Suburban Area,Residential area,40 rs,Angle parking,Open area,Yes,Yes,
2024/05/24 07:43:08 PM GMT+5:30,7.97 / 0,663 sq feet,Harohalli,Residential area,21 rs,Perpendicular parking,Open area,No,No,Good one
2024/02/17 08:01:35 PM GMT+5:30,0.08 / 0,750 sq feet,Kanakpura,Residential area,80 rs,Parallel parking,Closed area,No,No,Cost should be relevant
2024/03/05 08:53:44 PM GMT+5:30,8.04 / 0,582 sq feet,Harohalli,Commercial area,33 rs,Parallel parking,Open area,No,Yes,Good feedback
2024/06/04 02:08:42 AM GMT+5:30,7.20 / 0,201 sq feet,Harohalli,Residential area,51 rs,Parallel parking,Closed area,Yes,Yes,Good one
2024/01/23 02:01:20 PM GMT+5:30,6.63 / 0,385 sq feet,Suburban Area,Residential area,52 rs,Angle parking,Open area,No,No,Cost should be relevant
2024/08/08 08:16:46 AM GMT+5:30,6.22 / 0,17 sq feet,Kanakpura,Commercial area,20 rs,Perpendicular parking,Closed area,No,Yes,Good feedback
2024/05/24 10:28:45 PM GMT+5:30,3.80 / 0,764 sq feet,Harohalli,Commercial area,91 rs,Parallel parking,Closed area,No,No,Good one
2024/07/02 06:15:14 AM GMT+5:30,8.55 / 0,366 sq feet,City Center,Commercial area,83 rs,Parallel parking,Closed area,No,No,Good one
2024/09/20 12:42:09 AM GMT+5:30,2.48 / 0,339 sq feet,Harohalli,Residential area,47 rs,Parallel parking,Closed area,No,Yes,Good feedback
2024/09/17 02:20:23 AM GMT+5:30,4.09 / 0,852 sq feet,City Center,Street parking,79 rs,Angle parking,Open area,No,No,Good feedback
2024/01/29 08:08:23 AM GMT+5:30,7.01 / 0,127 sq feet,Kanakpura,Street parking,47 rs,Parallel parking,Closed area,No,Yes,Good feedback
2024/01/03 03:16:09 PM GMT+5:30,0.55 / 0,419 sq feet,Harohalli,Street parking,77 rs,Angle parking,Open area,Yes,No,Cost should be relevant
2024/05/12 07:13:31 PM GMT+5:30,9.02 / 0,564 sq feet,Suburban Area,Street parking,94 rs,Angle parking,Closed area,No,No,Good one
2024/02/04 10:43:30 PM GMT+5:30,1.09 / 0,493 sq feet,Suburban Area,Residential area,38 rs,Perpendicular parking,Open area,Yes,No,
2024/08/03 11:19:58 PM GMT+5:30,5.23 / 0,667 sq feet,Harohalli,Commercial area,92 rs,Perpendicular parking,Closed area,No,No,
2024/07/17 10:23:58 PM GMT+5:30,6.03 / 0,623 sq feet,Suburban Area,Street parking,19 rs,Perpendicular parking,Open area,No,No,
2024/04/26 05:44:29 PM GMT+5:30,0.38 / 0,410 sq feet,Kanakpura,Residential area,46 rs,Angle parking,Closed area,Yes,No,Good feedback
2024/08/26 04:42:59 AM GMT+5:30,1.87 / 0,44 sq feet,Kanakpura,Residential area,76 rs,Perpendicular parking,Open area,No,No,Cost should be relevant
2024/07/22 12:00:03 PM GMT+5:30,5.04 / 0,798 sq feet,City Center,Commercial area,93 rs,Perpendicular parking,Open area,No,No,
2024/05/15 07:12:00 PM GMT+5:30,7.85 / 0,877 sq feet,Kanakpura,Street parking,18 rs,Parallel parking,Open area,Yes,Yes,Good one
2024/09/21 10:02:19 AM GMT+5:30,9.78 / 0,41 sq feet,City Center,Residential area,14 rs,Parallel parking,Open area,No,No,Cost should be relevant
2024/05/02 11:40:06 PM GMT+5:30,5.97 / 0,770 sq feet,City Center,Commercial area,22 rs,Perpendicular parking,Open area,No,Yes,Good one
2024/01/28 11:23:10 PM GMT+5:30,0.59 / 0,517 sq feet,City Center,Street parking,28 rs,Angle parking,Closed area,Yes,Yes,
2024/09/16 06:23:46 PM GMT+5:30,5.75 / 0,145 sq feet,City Center,Street parking,66 rs,Parallel parking,Open area,Yes,No,
2024/09/17 10:29:02 PM GMT+5:30,4.56 / 0,71 sq feet,Harohalli,Street parking,22 rs,Parallel parking,Closed area,Yes,Yes,Cost should be relevant
2024/01/23 02:37:22 PM GMT+5:30,9.92 / 0,948 sq feet,Suburban Area,Street parking,38 rs,Parallel parking,Open area,No,Yes,Good feedback
2024/09/21 05:47:33 AM GMT+5:30,4.62 / 0,644 sq feet,Suburban Area,Street parking,21 rs,Parallel parking,Open area,No,No,Good feedback
2024/08/12 02:51:05 PM GMT+5:30,9.05 / 0,550 sq feet,City Center,Residential area,91 rs,Parallel parking,Closed area,Yes,No,
2024/01/21 10:24:18 PM GMT+5:30,4.46 / 0,452 sq feet,City Center,Commercial area,24 rs,Perpendicular parking,Open area,No,No,Cost should be relevant
2024/02/21 09:39:42 PM GMT+5:30,0.52 / 0,820 sq feet,Kanakpura,Residential area,73 rs,Perpendicular parking,Open area,Yes,No,Good feedback
2024/08/16 02:21:56 AM GMT+5:30,1.92 / 0,678 sq feet,Harohalli,Commercial area,39 rs,Perpendicular parking,Closed area,No,No,Good feedback
2024/06/22 09:11:00 AM GMT+5:30,9.17 / 0,766 sq feet,City Center,Street parking,68 rs,Angle parking,Closed area,Yes,Yes,Good one
2024/08/20 11:17:14 PM GMT+5:30,5.76 / 0,764 sq feet,Suburban Area,Commercial area,51 rs,Perpendicular parking,Open area,No,Yes,Good one
2024/05/07 07:24:16 PM GMT+5:30,2.75 / 0,567 sq feet,Harohalli,Street parking,19 rs,Perpendicular parking,Open area,Yes,Yes,Good feedback
2024/05/17 04:03:13 PM GMT+5:30,7.49 / 0,619 sq feet,Suburban Area,Commercial area,37 rs,Perpendicular parking,Closed area,No,Yes,Good one
2024/08/12 02:44:59 AM GMT+5:30,8.77 / 0,53 sq feet,Kanakpura,Residential area,44 rs,Perpendicular parking,Closed area,Yes,Yes,Good feedback
2024/04/28 10:07:03 AM GMT+5:30,8.55 / 0,217 sq feet,Kanakpura,Residential area,92 rs,Perpendicular parking,Closed area,No,Yes,Good feedback
2024/01/07 07:18:08 AM GMT+5:30,6.27 / 0,291 sq feet,Harohalli,Street parking,57 rs,Angle parking,Closed area,No,No,Good one
2024/02/15 09:13:03 AM GMT+5:30,9.43 / 0,785 sq feet,Suburban Area,Commercial area,77 rs,Angle parking,Closed area,No,Yes,Cost should be relevant
2024/06/13 05:57:24 AM GMT+5:30,6.38 / 0,63 sq feet,Kanakpura,Street parking,97 rs,Parallel parking,Open area,Yes,Yes,Good one
2024/08/22 10:15:56 AM GMT+5:30,8.55 / 0,495 sq feet,Suburban Area,Residential area,40 rs,Perpendicular parking,Open area,Yes,Yes,Cost should be relevant
2024/02/06 11:17:41 AM GMT+5:30,4.00 / 0,645 sq feet,Kanakpura,Residential area,53 rs,Parallel parking,Open area,No,Yes,Cost should be relevant
2024/07/21 02:01:10 AM GMT+5:30,4.04 / 0,147 sq feet,City Center,Commercial area,60 rs,Perpendicular parking,Closed area,Yes,No,Good feedback
2024/06/05 12:33:07 PM GMT+5:30,3.75 / 0,133 sq feet,Harohalli,Residential area,88 rs,Perpendicular parking,Open area,Yes,No,Good feedback
2024/07/27 04:05:01 AM GMT+5:30,8.66 / 0,291 sq feet,City Center,Residential area,36 rs,Angle parking,Open area,Yes,No,Good feedback
2024/02/17 10:57:34 AM GMT+5:30,7.29 / 0,265 sq feet,Kanakpura,Commercial area,77 rs,Perpendicular parking,Closed area,No,No,Cost should be relevant
2024/06/07 09:02:45 PM GMT+5:30,7.45 / 0,147 sq feet,City Center,Commercial area,94 rs,Parallel parking,Closed area,No,Yes,Good feedback
2024/08/18 03:50:58 PM GMT+5:30,3.73 / 0,455 sq feet,Kanakpura,Residential area,84 rs,Parallel parking,Closed area,No,No,
2024/04/04 12:43:47 PM GMT+5:30,2.24 / 0,464 sq feet,Harohalli,Commercial area,88 rs,Parallel parking,Open area,Yes,Yes,Cost should be relevant
2024/09/22 11:32:56 PM GMT+5:30,6.17 / 0,994 sq feet,City Center,Street parking,20 rs,Parallel parking,Closed area,No,Yes,Good one
2024/07/20 07:05:21 AM GMT+5:30,2.95 / 0,911 sq feet,Suburban Area,Street parking,12 rs,Perpendicular parking,Closed area,No,No,
2024/08/24 02:12:18 PM GMT+5:30,6.29 / 0,705 sq feet,Kanakpura,Commercial area,14 rs,Angle parking,Closed area,No,No,
2024/05/10 11:33:09 PM GMT+5:30,0.49 / 0,53 sq feet,City Center,Commercial area,42 rs,Parallel parking,Closed area,Yes,Yes,
2024/03/27 10:17:05 PM GMT+5:30,2.02 / 0,685 sq feet,City Center,Commercial area,92 rs,Angle parking,Closed area,No,Yes,Cost should be relevant
2024/06/18 03:56:24 PM GMT+5:30,9.04 / 0,953 sq feet,Kanakpura,Street parking,100 rs,Angle parking,Open area,No,No,Good feedback
2024/04/18 05:50:16 AM GMT+5:30,7.43 / 0,768 sq feet,City Center,Commercial area,58 rs,Angle parking,Open area,No,No,Good one
2024/06/15 05:41:05 AM GMT+5:30,6.62 / 0,60 sq feet,Suburban Area,Residential area,70 rs,Angle parking,Closed area,Yes,No,Good feedback
2024/01/12 10:52:09 AM GMT+5:30,9.87 / 0,349 sq feet,Harohalli,Residential area,96 rs,Parallel parking,Open area,Yes,Yes,Good feedback
2024/07/08 11:50:53 AM GMT+5:30,2.39 / 0,868 sq feet,Suburban Area,Street parking,31 rs,Angle parking,Closed area,Yes,Yes,Good feedback
2024/02/24 06:44:28 PM GMT+5:30,4.50 / 0,880 sq feet,Suburban Area,Street parking,41 rs,Angle parking,Open area,No,Yes,Cost should be relevant
2024/02/27 06:05:31 PM GMT+5:30,3.76 / 0,297 sq feet,Suburban Area,Residential area,76 rs,Perpendicular parking,Open area,No,No,Good one
2024/03/29 04:42:13 AM GMT+5:30,9.54 / 0,380 sq feet,Harohalli,Residential area,27 rs,Angle parking,Open area,No,No,
2024/01/22 08:43:01 AM GMT+5:30,4.50 / 0,538 sq feet,Suburban Area,Commercial area,57 rs,Perpendicular parking,Closed area,Yes,Yes,Good feedback
2024/08/08 04:32:17 AM GMT+5:30,3.36 / 0,37 sq feet,Suburban Area,Residential area,72 rs,Parallel parking,Closed area,No,No,Good one
2024/01/07 01:41:13 AM GMT+5:30,2.64 / 0,516 sq feet,Suburban Area,Commercial area,35 rs,Parallel parking,Closed area,No,No,
2024/09/11 07:25:55 PM GMT+5:30,6.12 / 0,335 sq feet,Kanakpura,Residential area,39 rs,Perpendicular parking,Open area,Yes,No,
2024/08/10 11:33:35 PM GMT+5:30,7.40 / 0,773 sq feet,Suburban Area,Street parking,62 rs,Angle parking,Closed area,No,Yes,Good feedback
2024/02/05 08:53:10 AM GMT+5:30,9.88 / 0,288 sq feet,Suburban Area,Street parking,85 rs,Angle parking,Closed area,No,Yes,Good feedback
2024/09/21 12:50:53 AM GMT+5:30,7.28 / 0,559 sq feet,Kanakpura,Residential area,41 rs,Parallel parking,Open area,No,Yes,Cost should be relevant
2024/02/13 09:31:24 AM GMT+5:30,4.06 / 0,579 sq feet,City Center,Commercial area,86 rs,Angle parking,Closed area,No,No,Cost should be relevant
2024/07/21 12:09:04 PM GMT+5:30,3.85 / 0,76 sq feet,City Center,Commercial area,93 rs,Angle parking,Closed area,No,No,Cost should be relevant
2024/05/01 07:37:49 AM GMT+5:30,2.89 / 0,276 sq feet,City Center,Street parking,68 rs,Perpendicular parking,Open area,No,Yes,Good feedback
2024/03/15 04:48:09 AM GMT+5:30,4.43 / 0,245 sq feet,City Center,Street parking,62 rs,Parallel parking,Open area,Yes,No,
2024/03/13 09:39:30 AM GMT+5:30,4.63 / 0,169 sq feet,Suburban Area,Residential area,70 rs,Angle parking,Closed area,No,No,Cost should be relevant
2024/05/23 11:30:13 AM GMT+5:30,9.86 / 0,435 sq feet,Suburban Area,Street parking,64 rs,Angle parking,Closed area,Yes,Yes,
2024/04/04 03:06:31 PM GMT+5:30,6.79 / 0,974 sq feet,City Center,Residential area,63 rs,Perpendicular parking,Open area,Yes,Yes,
2024/05/04 12:36:47 AM GMT+5:30,7.88 / 0,937 sq feet,Kanakpura,Commercial area,44 rs,Angle parking,Open area,Yes,No,Good one
2024/01/03 08:54:27 AM GMT+5:30,6.58 / 0,641 sq feet,Kanakpura,Street parking,65 rs,Perpendicular parking,Closed area,No,No,Good feedback
2024/05/03 09:32:21 PM GMT+5:30,0.40 / 0,406 sq feet,Kanakpura,Residential area,97 rs,Perpendicular parking,Open area,No,Yes,Cost should be relevant
2024/05/25 07:10:20 AM GMT+5:30,3.88 / 0,179 sq feet,Kanakpura,Commercial area,95 rs,Angle parking,Closed area,Yes,No,Cost should be relevant
2024/04/25 05:45:32 AM GMT+5:30,7.61 / 0,501 sq feet,Kanakpura,Commercial area,83 rs,Parallel parking,Closed area,No,Yes,Good one
2024/07/22 11:35:11 PM GMT+5:30,2.41 / 0,201 sq feet,Harohalli,Commercial area,49 rs,Perpendicular parking,Open area,No,Yes,Cost should be relevant
2024/05/28 03:45:29 PM GMT+5:30,0.23 / 0,949 sq feet,City Center,Commercial area,31 rs,Angle parking,Open area,No,Yes,
2024/05/19 03:45:36 AM GMT+5:30,2.20 / 0,518 sq feet,Kanakpura,Residential area,71 rs,Parallel parking,Open area,Yes,Yes,Cost should be relevant
2024/02/15 08:23:14 PM GMT+5:30,2.80 / 0,233 sq feet,City Center,Residential area,35 rs,Parallel parking,Closed area,Yes,No,Good one
2024/08/15 02:43:26 AM GMT+5:30,2.37 / 0,935 sq feet,Harohalli,Commercial area,20 rs,Angle parking,Closed area,Yes,Yes,Cost should be relevant
2024/02/07 02:18:35 AM GMT+5:30,7.53 / 0,479 sq feet,City Center,Commercial area,100 rs,Parallel parking,Closed area,No,Yes,Cost should be relevant
2024/08/13 02:10:12 AM GMT+5:30,9.68 / 0,612 sq feet,Suburban Area,Residential area,72 rs,Angle parking,Closed area,No,No,Cost should be relevant
2024/01/01 06:06:16 AM GMT+5:30,3.50 / 0,687 sq feet,Suburban Area,Street parking,25 rs,Parallel parking,Open area,No,No,Good feedback
2024/02/22 11:09:45 AM GMT+5:30,7.08 / 0,84 sq feet,Kanakpura,Street parking,77 rs,Perpendicular parking,Closed area,Yes,Yes,Good one
2024/07/17 01:07:24 PM GMT+5:30,0.15 / 0,494 sq feet,City Center,Commercial area,82 rs,Parallel parking,Open area,No,Yes,
